bill_id,type,number,term,origin,date_introduced,sponsor_id,policy_area
HJRES1-113,HJRES,1,113,House,2013-01-03,G000289,Economics and Public Finance
HJRES10-113,HJRES,10,113,House,2013-01-03,S001183,Economics and Public Finance
HJRES100-113,HJRES,100,113,House,2013-10-30,M000725,Economics and Public Finance
HJRES101-113,HJRES,101,113,House,2013-10-30,P000601,Congress
HJRES102-113,HJRES,102,113,House,2013-11-13,J000174,Government Operations and Politics
HJRES103-113,HJRES,103,113,House,2013-11-13,J000174,Government Operations and Politics
HJRES104-113,HJRES,104,113,House,2013-11-15,B001283,Taxation
HJRES105-113,HJRES,105,113,House,2014-01-09,M001144,Immigration
HJRES106-113,HJRES,106,113,House,2014-01-10,R000395,Economics and Public Finance
HJRES107-113,HJRES,107,113,House,2014-01-16,Y000062,Government Operations and Politics
HJRES108-113,HJRES,108,113,House,2014-02-04,M001182,Congress
HJRES109-113,HJRES,109,113,House,2014-02-10,R000487,International Affairs
HJRES11-113,HJRES,11,113,House,2013-01-03,T000459,Economics and Public Finance
HJRES110-113,HJRES,110,113,House,2014-02-11,L000575,Health
HJRES111-113,HJRES,111,113,House,2014-03-04,J000174,Government Operations and Politics
HJRES112-113,HJRES,112,113,House,2014-03-05,R000487,International Affairs
HJRES113-113,HJRES,113,113,House,2014-03-27,S001175,"Civil Rights and Liberties, Minority Issues"
HJRES114-113,HJRES,114,113,House,2014-04-10,L000557,Congress
HJRES115-113,HJRES,115,113,House,2014-05-21,B001250,Government Operations and Politics
HJRES116-113,HJRES,116,113,House,2014-06-09,K000378,International Affairs
HJRES117-113,HJRES,117,113,House,2014-07-09,J000174,Government Operations and Politics
HJRES118-113,HJRES,118,113,House,2014-07-10,M001180,Government Operations and Politics
HJRES119-113,HJRES,119,113,House,2014-07-14,D000610,Government Operations and Politics
HJRES12-113,HJRES,12,113,House,2013-01-04,K000009,Government Operations and Politics
HJRES120-113,HJRES,120,113,House,2014-07-23,B001251,Public Lands and Natural Resources
HJRES121-113,HJRES,121,113,House,2014-07-29,C001083,Government Operations and Politics
HJRES122-113,HJRES,122,113,House,2014-07-31,M001179,Congress
HJRES123-113,HJRES,123,113,House,2014-09-08,I000056,International Affairs
HJRES124-113,HJRES,124,113,House,2014-09-09,R000395,Economics and Public Finance
HJRES125-113,HJRES,125,113,House,2014-09-16,S001150,International Affairs
HJRES126-113,HJRES,126,113,House,2014-09-18,C001087,Economics and Public Finance
HJRES127-113,HJRES,127,113,House,2014-09-18,G000552,International Affairs
HJRES128-113,HJRES,128,113,House,2014-09-19,L000557,International Affairs
HJRES129-113,HJRES,129,113,House,2014-11-14,M001165,Congress
HJRES13-113,HJRES,13,113,House,2013-01-04,K000009,Government Operations and Politics
HJRES130-113,HJRES,130,113,House,2014-12-10,R000395,Economics and Public Finance
HJRES131-113,HJRES,131,113,House,2014-12-12,R000395,Economics and Public Finance
HJRES14-113,HJRES,14,113,House,2013-01-04,K000009,Government Operations and Politics
HJRES15-113,HJRES,15,113,House,2013-01-04,S000248,Government Operations and Politics
HJRES16-113,HJRES,16,113,House,2013-01-04,K000362,Taxation
HJRES17-113,HJRES,17,113,House,2013-01-15,R000591,Economics and Public Finance
HJRES18-113,HJRES,18,113,House,2013-01-18,E000172,Economics and Public Finance
HJRES19-113,HJRES,19,113,House,2013-01-18,E000172,Government Operations and Politics
HJRES2-113,HJRES,2,113,House,2013-01-03,G000289,Economics and Public Finance
HJRES20-113,HJRES,20,113,House,2013-01-22,M000312,Government Operations and Politics
HJRES21-113,HJRES,21,113,House,2013-01-22,M000312,"Civil Rights and Liberties, Minority Issues"
HJRES22-113,HJRES,22,113,House,2013-01-22,H001052,Congress
