bill_id,version_type,url
HJRES1-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres1ih/xml/BILLS-115hjres1ih.xml
HJRES10-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres10ih/xml/BILLS-115hjres10ih.xml
HJRES100-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres100ih/xml/BILLS-115hjres100ih.xml
HJRES101-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres101ih/xml/BILLS-115hjres101ih.xml
HJRES102-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres102ih/xml/BILLS-115hjres102ih.xml
HJRES103-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres103ih/xml/BILLS-115hjres103ih.xml
HJRES104-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres104ih/xml/BILLS-115hjres104ih.xml
HJRES105-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres105ih/xml/BILLS-115hjres105ih.xml
HJRES106-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres106ih/xml/BILLS-115hjres106ih.xml
HJRES107-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres107ih/xml/BILLS-115hjres107ih.xml
HJRES108-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres108ih/xml/BILLS-115hjres108ih.xml
HJRES109-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres109ih/xml/BILLS-115hjres109ih.xml
HJRES11-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres11ih/xml/BILLS-115hjres11ih.xml
HJRES110-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres110ih/xml/BILLS-115hjres110ih.xml
HJRES111-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres111enr/xml/BILLS-115hjres111enr.xml
HJRES111-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres111rds/xml/BILLS-115hjres111rds.xml
HJRES111-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres111eh/xml/BILLS-115hjres111eh.xml
HJRES111-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres111ih/xml/BILLS-115hjres111ih.xml
HJRES112-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres112ih/xml/BILLS-115hjres112ih.xml
HJRES113-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres113ih/xml/BILLS-115hjres113ih.xml
HJRES114-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres114ih/xml/BILLS-115hjres114ih.xml
HJRES115-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres115ih/xml/BILLS-115hjres115ih.xml
HJRES116-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres116ih/xml/BILLS-115hjres116ih.xml
HJRES117-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres117ih/xml/BILLS-115hjres117ih.xml
HJRES118-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres118ih/xml/BILLS-115hjres118ih.xml
HJRES119-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres119ih/xml/BILLS-115hjres119ih.xml
HJRES12-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres12ih/xml/BILLS-115hjres12ih.xml
HJRES120-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres120ih/xml/BILLS-115hjres120ih.xml
HJRES121-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres121ih/xml/BILLS-115hjres121ih.xml
HJRES122-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres122ih/xml/BILLS-115hjres122ih.xml
HJRES123-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres123enr/xml/BILLS-115hjres123enr.xml
HJRES123-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres123rds/xml/BILLS-115hjres123rds.xml
HJRES123-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres123eh/xml/BILLS-115hjres123eh.xml
HJRES123-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres123ih/xml/BILLS-115hjres123ih.xml
HJRES124-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres124ih/xml/BILLS-115hjres124ih.xml
HJRES125-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres125ih/xml/BILLS-115hjres125ih.xml
HJRES126-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres126ih/xml/BILLS-115hjres126ih.xml
HJRES127-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres127ih/xml/BILLS-115hjres127ih.xml
HJRES128-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres128ih/xml/BILLS-115hjres128ih.xml
HJRES129-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres129ih/xml/BILLS-115hjres129ih.xml
HJRES13-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres13ih/xml/BILLS-115hjres13ih.xml
HJRES130-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres130ih/xml/BILLS-115hjres130ih.xml
HJRES131-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres131ih/xml/BILLS-115hjres131ih.xml
HJRES132-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres132ih/xml/BILLS-115hjres132ih.xml
HJRES133-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres133ih/xml/BILLS-115hjres133ih.xml
HJRES134-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres134ih/xml/BILLS-115hjres134ih.xml
HJRES135-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres135ih/xml/BILLS-115hjres135ih.xml
HJRES136-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres136ih/xml/BILLS-115hjres136ih.xml
HJRES137-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres137ih/xml/BILLS-115hjres137ih.xml
HJRES138-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres138ih/xml/BILLS-115hjres138ih.xml
HJRES139-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres139ih/xml/BILLS-115hjres139ih.xml
HJRES14-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres14ih/xml/BILLS-115hjres14ih.xml
HJRES140-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres140ih/xml/BILLS-115hjres140ih.xml
HJRES141-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres141ih/xml/BILLS-115hjres141ih.xml
HJRES142-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres142ih/xml/BILLS-115hjres142ih.xml
HJRES143-115,Enrolled Bill,https://www.govinfo.gov/content/pkg/BILLS-115hjres143enr/xml/BILLS-115hjres143enr.xml
HJRES143-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres143rds/xml/BILLS-115hjres143rds.xml
HJRES143-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres143eh/xml/BILLS-115hjres143eh.xml
HJRES143-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres143ih/xml/BILLS-115hjres143ih.xml
HJRES144-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres144ih/xml/BILLS-115hjres144ih.xml
HJRES145-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres145ih/xml/BILLS-115hjres145ih.xml
HJRES146-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres146ih/xml/BILLS-115hjres146ih.xml
HJRES15-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres15ih/xml/BILLS-115hjres15ih.xml
HJRES16-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres16ih/xml/BILLS-115hjres16ih.xml
HJRES17-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres17ih/xml/BILLS-115hjres17ih.xml
HJRES18-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres18ih/xml/BILLS-115hjres18ih.xml
HJRES19-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres19ih/xml/BILLS-115hjres19ih.xml
HJRES2-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres2ih/xml/BILLS-115hjres2ih.xml
HJRES20-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres20ih/xml/BILLS-115hjres20ih.xml
HJRES21-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres21ih/xml/BILLS-115hjres21ih.xml
HJRES22-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres22ih/xml/BILLS-115hjres22ih.xml
HJRES23-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres23ih/xml/BILLS-115hjres23ih.xml
HJRES24-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres24ih/xml/BILLS-115hjres24ih.xml
HJRES25-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres25ih/xml/BILLS-115hjres25ih.xml
HJRES26-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres26ih/xml/BILLS-115hjres26ih.xml
HJRES27-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres27ih/xml/BILLS-115hjres27ih.xml
HJRES28-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres28ih/xml/BILLS-115hjres28ih.xml
HJRES29-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres29ih/xml/BILLS-115hjres29ih.xml
HJRES3-115,Referred in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres3rfs/xml/BILLS-115hjres3rfs.xml
HJRES3-115,Engrossed in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres3eh/xml/BILLS-115hjres3eh.xml
HJRES3-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres3ih/xml/BILLS-115hjres3ih.xml
HJRES30-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres30ih/xml/BILLS-115hjres30ih.xml
HJRES31-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres31ih/xml/BILLS-115hjres31ih.xml
HJRES32-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres32ih/xml/BILLS-115hjres32ih.xml
HJRES33-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres33ih/xml/BILLS-115hjres33ih.xml
HJRES34-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres34ih/xml/BILLS-115hjres34ih.xml
HJRES35-115,Introduced in House,https://www.govinfo.gov/content/pkg/BILLS-115hjres35ih/xml/BILLS-115hjres35ih.xml
HJRES36-115,Referred in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres36rfs/xml/BILLS-115hjres36rfs.xml
HJRES36-115,Received in Senate,https://www.govinfo.gov/content/pkg/BILLS-115hjres36rds/xml/BILLS-115hjres36rds.xml
