bioguide_id,crp_id,name,data_year,title,organization
D000216,N00000615,"DeLauro, Rosa L",2016,Honorary Board of Directors,Cancer Schmancer Movement
D000216,N00000615,"DeLauro, Rosa L",2016,Honorary Board Member,Center for WorkLife Law (WLL)
D000216,N00000615,"DeLauro, Rosa L",2016,Member,CT International Women's Forum
D000216,N00000615,"DeLauro, Rosa L",2016,Member,Delta Kappa Gamma Society
D000216,N00000615,"DeLauro, Rosa L",2016,"Honorary Member, Advisory Committee",Diaper Bank
F000372,N00000684,"Frelinghuysen, Rodney",2016,"Member, Advisory Board",El Primer Paso LTD
H001032,N00000860,"Holt, Rush",2016,Trustee,Carnegie Institution for Science
C001092,N00001285,,2016,Director-Chairman,Audubon Machinery Corp
C001092,N00001285,,2016,Director-Chairman,Bloch Industries
C001092,N00001285,,2016,Partner,Bloch Realty LLC
C001092,N00001285,,2016,Partner,Cobblestone Realty LLC
C001092,N00001285,,2016,Director,Easom Automation Systems
D000482,N00001373,"Doyle, Mike",2016,Secretary/Treasurer,Eastgate Insurance Agency
D000482,N00001373,"Doyle, Mike",2016,Board of Directors (uncompensated),Howard Hanna Children's Free Care Fund Foundation
F000043,N00001746,"Fattah, Chaka",2016,Board Chairman,Congressional Black Caucus Foundation
F000043,N00001746,"Fattah, Chaka",2016,Member,John Hopkins University Board
F000043,N00001746,"Fattah, Chaka",2016,Member,Nurses Foundation of Pennsylvania
F000043,N00001746,"Fattah, Chaka",2016,Member,Philadelphia Museum of Art
G000386,N00001758,"Grassley, Chuck",2016,Proprietor,Farm-Butler County Iowa  New Hartford & Cedar Fall
D000355,N00001783,"Dingell, John D",2016,"Member, Board of Trustees",Nature Conservancy of Michigan
D000355,N00001783,"Dingell, John D",2016,"Member, Board of Directors",River Raisin National Battlefield Park Foundation
H000874,N00001821,"Hoyer, Steny H",2016,Member,St Mary's College Board of Trustees
C000141,N00001955,"Cardin, Ben",2016,Other (Advisory Board),Center for Democracy & the Interpretation of
C000141,N00001955,"Cardin, Ben",2016,Other (Adivsory Board),Congressional Coalition on Adoption Institute
C000141,N00001955,"Cardin, Ben",2016,Trustee,Herbert Rosen Irrevocable Trust
C000141,N00001955,"Cardin, Ben",2016,Other (Advisory Board),Institute for Public Studies Johns Hopkins
C000141,N00001955,"Cardin, Ben",2016,Trustee,James Madison Memorial Fellowship Foundation  Wash
C000984,N00001971,"Cummings, Elijah E",2016,Board Member,Baltimore Area Council of Boy Scouts of America Bo
C000984,N00001971,"Cummings, Elijah E",2016,Board Member,Community Assistance Network
C000984,N00001971,"Cummings, Elijah E",2016,Board Member,Maritime Industries Academy Foundation
C000984,N00001971,"Cummings, Elijah E",2016,Board Member,Morgan State University Board of Regents
C000984,N00001971,"Cummings, Elijah E",2016,Board Member,SEED School of Baltimore
B001135,N00002221,"Burr, Richard",2016,Board Member,Brenners Children's Hospital
C000556,N00002247,"Coble, Howard",2016,"Member, Congressional Advisory Council",American Conservative Union
C000556,N00002247,"Coble, Howard",2016,"Member, Congressional Advisory Council",American Conservative Union
C000556,N00002247,"Coble, Howard",2016,"Member, Congressional Advisory Board",DECA: An Assn of Marketing Students
C000556,N00002247,"Coble, Howard",2016,"Member, Congressional Advisory Board",DECA: An Assn of Marketing Students
C000556,N00002247,"Coble, Howard",2016,"Member, Congressional Council",Faith & Politics Institute
C000537,N00002408,"Clyburn, James E",2016,Board Member (uncompensated),Allen University
C000537,N00002408,"Clyburn, James E",2016,Board Member (uncompensated),Congressional Black Caucus Education & Leadership
C000286,N00002685,"Chambliss, Saxby",2016,Director,Camp Sunshine
B000911,N00002713,"Brown, Corrine",2016,Board Member,Communities in Schools of Jacksonville
