bioguide_id,crp_id,name,data_year,net_low,net_high,positions_held,asset_count,asset_low,asset_high,transaction_count,tx_low,tx_high
C000380,N00000133,"Christian-Christensen, Donna",2016,,,,0,0,0,0,0,0
C001037,N00000267,"Capuano, Michael E",2016,1882044,4406000,,42,1882044,4406000,0,0,0
C001035,N00000491,"Collins, Susan M",2016,1908091,5412000,,99,1908091,5412000,1,15001,50000
A000210,N00000826,"Andrews, Robert E",2016,,,,0,0,0,0,0,0
C001038,N00001127,"Crowley, Joseph",2016,265041,1076000,,27,265041,1076000,0,0,0
C001092,N00001285,,2016,43520030,129275000,,30,43520030,129275000,7,496007,1165000
B001227,N00001619,"Brady, Robert A",2016,1550006,3101000,,5,1550006,3101000,0,0,0
C000141,N00001955,"Cardin, Ben",2016,1454106,4540000,,90,1454106,4540000,77,414077,1910000
C000984,N00001971,"Cummings, Elijah E",2016,244014,2125998,,14,1259014,2636000,0,0,0
B001135,N00002221,"Burr, Richard",2016,3269284,4797278,,9,3269284,4797278,0,0,0
C000556,N00002247,"Coble, Howard",2016,,,,0,0,0,0,0,0
C000537,N00002408,"Clyburn, James E",2016,197009,532000,,7,197009,532000,0,0,0
B000490,N00002674,"Bishop, Sanford",2016,-362994,105996,,6,152006,331000,0,0,0
C000286,N00002685,"Chambliss, Saxby",2016,,,,0,0,0,0,0,0
B000911,N00002713,"Brown, Corrine",2016,0,0,,0,0,0,0,0,0
A000055,N00003028,"Aderholt, Robert B",2016,1176021,7150998,,16,2226021,7666000,0,0,0
B001243,N00003105,"Blackburn, Marsha",2016,-681986,119997,,11,168014,520000,0,0,0
C000754,N00003132,"Cooper, Jim",2016,12285055,49251000,,51,12285055,49251000,7,4007,63000
C001068,N00003225,"Cohen, Steve",2016,3050107,7877000,,89,3050107,7877000,0,0,0
C000567,N00003328,"Cochran, Thad",2016,-3000000,-1500004,,0,0,0,8,234008,660000
B000944,N00003535,"Brown, Sherrod",2016,367005,830000,,5,367005,830000,1,250001,500000
B000589,N00003675,"Boehner, John",2016,,,,0,0,0,0,0,0
C000266,N00003689,"Chabot, Steve",2016,559027,1486000,,27,559027,1486000,0,0,0
C000542,N00003845,"Coats, Dan",2016,6593062,17512000,,75,6593062,17512000,0,0,0
C000714,N00004029,"Conyers, John Jr",2016,0,0,,0,0,0,0,0,0
B001230,N00004367,"Baldwin, Tammy",2016,517004,1080000,,4,517004,1080000,0,0,0
C001096,N00004614,,2016,318016,945000,,16,318016,945000,0,0,0
B000243,N00004643,"Baucus, Max",2016,,,,0,0,0,0,0,0
B000575,N00005195,"Blunt, Roy",2016,1598021,8294998,,21,2698021,8845000,0,0,0
A000373,N00005293,,2016,0,0,,0,0,0,0,0,0
C000560,N00005601,"Coburn, Tom",2016,,,,0,0,0,0,0,0
B000213,N00005656,"Barton, Joe",2016,217006,714998,,4,367006,780000,0,0,0
B001291,N00005736,,2016,1017092,3387000,,90,1017092,3387000,16,16,16000
B000755,N00005883,"Brady, Kevin",2016,371026,1175999,,22,421026,1191000,0,0,0
B001261,N00006236,"Barrasso, John A",2016,3198015,12696000,,16,3198015,12696000,0,0,0
C000880,N00006267,"Crapo, Mike",2016,692038,1930000,,24,692038,1930000,16,16016,240000
B000711,N00006692,"Boxer, Barbara",2016,1133008,5346000,,8,1133008,5346000,0,0,0
C000059,N00007099,"Calvert, Ken",2016,-1799985,10599993,,15,4400015,12100000,0,0,0
C001036,N00007232,"Capps, Lois",2016,0,0,,0,0,0,0,0,0
B000574,N00007727,"Blumenauer, Earl",2016,3972045,15927995,,42,4922045,16358000,0,0,0
C000127,N00007836,"Cantwell, Maria",2016,1101011,5476999,,13,1151011,5492000,2,2002,30000
C000071,N00008086,"Camp, Dave",2016,,,,0,0,0,0,0,0
B000013,N00008091,"Bachus, Spencer",2016,,,,0,0,0,0,0,0
C001048,N00009738,"Culberson, John",2016,0,0,,0,0,0,0,0,0
C001047,N00009771,"Capito, Shelley Moore",2016,1395137,5536997,,112,1810137,5712000,6,515006,1300000
B000287,N00009774,"Becerra, Xavier",2016,0,0,,0,0,0,0,0,0
A000360,N00009888,"Alexander, Lamar",2016,-11798868,90466985,,80,26001132,98867000,82,1308082,3970000
C001049,N00012460,"Clay, William L Jr",2016,0,0,,0,0,0,0,0,0
C000174,N00012508,"Carper, Tom",2016,7840438,22480999,,248,8090438,22581000,72,464072,2060000
