bioguide_id,crp_id,cand_name,cycle,state,party,chamber,first_elected,next_election,total,spent,cash_on_hand,debt
M000087,N00000078,"Maloney, Carolyn B",2012,NY,D,H,1992,2012,1746928.76,1862564.55,512196.58,0
C000380,N00000133,"Christian-Christensen, Donna",2012,VI,D,D,1996,2012,330274.09,344404.17,-6490.32,11561.63
N000015,N00000153,"Neal, Richard E",2012,MA,D,H,1988,2012,1793586.71,1902833.93,2066594,0
M000312,N00000179,"McGovern, James P",2012,MA,D,H,1996,2012,1068822.44,740708.53,354251.02,0
K000148,N00000245,"Kerry, John",2012,MA,D,S,1984,2014,9324378,20967954,989921,0
C001037,N00000267,"Capuano, Michael E",2012,MA,D,H,1998,2012,909487.24,595431.79,482483.02,0
M000133,N00000270,"Markey, Edward J",2012,MA,D,H,1976,2012,1091666.32,1110491.92,3050589.47,0
R000122,N00000362,"Reed, Jack",2012,RI,D,S,1996,2014,4560746,3705463,1859833,0
C001035,N00000491,"Collins, Susan M",2012,ME,R,S,1996,2014,8661651,8176087,921220,0
S000033,N00000528,"Sanders, Bernie",2012,VT,I,S,2006,2012,7229492,3247555,4159051,0
L000557,N00000575,"Larson, John B",2012,CT,D,H,1998,2012,2018561.37,2232557.75,202850.38,3662.92
D000216,N00000615,"DeLauro, Rosa L",2012,CT,D,H,1990,2012,1175607.54,1169821.23,10971.26,0
L000123,N00000659,"Lautenberg, Frank R",2012,NJ,D,S,2002,2014,7654441,8627366,182068,1090000
F000372,N00000684,"Frelinghuysen, Rodney",2012,NJ,R,H,1994,2012,1101627.89,1184498.09,242438.76,441079
M000639,N00000699,"Menendez, Robert",2012,NJ,D,S,2006,2012,17344783,16226545,1426897,0
G000548,N00000743,"Garrett, Scott",2012,NJ,R,H,2002,2012,2392464.98,1105176.9,2148218.03,0
P000096,N00000751,"Pascrell, Bill Jr",2012,NJ,D,H,1996,2012,2861094.88,3506000.12,356942.8,80000
P000034,N00000781,"Pallone, Frank Jr",2012,NJ,D,H,1988,2012,1868760,1593292.08,3406269.82,0
A000210,N00000826,"Andrews, Robert E",2012,NJ,D,H,1990,2012,1510757.47,1449946.64,491519.32,0
L000554,N00000851,"LoBiondo, Frank A",2012,NJ,R,H,1994,2012,1566499.52,1336918.44,690690.4,10651.83
H001032,N00000860,"Holt, Rush",2012,NJ,D,H,1998,2012,2084904.26,1511879.77,769057.96,0
L000567,N00000898,"Lance, Leonard",2012,NJ,R,H,2008,2012,1321361.7,1334015.1,161504.95,50000
N000002,N00000939,"Nadler, Jerrold",2012,NY,D,H,1992,2012,1125304.2,1471936.4,454296.52,0
R000053,N00000964,"Rangel, Charles B",2012,NY,D,H,1970,2012,1461285.62,1553263.27,5033.42,35833.9
E000179,N00001003,"Engel, Eliot L",2012,NY,D,H,1988,2012,1062605.76,1182936.79,51286.29,0
L000480,N00001024,"Lowey, Nita M",2012,NY,D,H,1988,2012,2165669.24,2491789.21,417573.87,0
S000148,N00001093,"Schumer, Charles E",2012,NY,D,S,1998,2016,20645269,21114491,9733674,0
C001038,N00001127,"Crowley, Joseph",2012,NY,D,H,1998,2012,2577592.02,2722991.15,788652.14,0
M000309,N00001148,"McCarthy, Carolyn",2012,NY,D,H,1996,2012,2277999.7,1860330.67,564947.39,0
M001137,N00001171,"Meeks, Gregory W",2012,NY,D,H,1998,2012,740896.78,724664.51,30052.23,22800
K000210,N00001193,"King, Pete",2012,NY,R,H,1992,2012,1812860.05,1201207.15,2428105,0
C001092,N00001285,"Collins, Chris",2012,,R, ,,2012,1327521.13,1312829.91,16018.22,540000
S000480,N00001311,"Slaughter, Louise M",2012,NY,D,H,1986,2012,2278708.56,2469256.67,24826.6,0
D000482,N00001373,"Doyle, Mike",2012,PA,D,H,1994,2012,870614.07,757648.99,213581.72,0
S001162,N00001579,"Schwartz, Allyson",2012,PA,D,H,2004,2012,2910725.48,1203040.91,3112777.64,0
B001227,N00001619,"Brady, Robert A",2012,PA,D,H,1998,2012,746273.09,870046.05,578057.76,29423.34
P000373,N00001633,"Pitts, Joe",2012,PA,R,H,1996,2012,1312423.57,1208910.52,183946.14,0
R000361,N00001685,"Rockefeller, Jay",2012,WV,D,S,1984,2014,6233913,6401551,665175,0
L000261,N00001691,"Levin, Carl",2012,MI,D,S,1978,2014,8392507,7410200,232805,0
N000147,N00001692,"Norton, Eleanor Holmes",2012,DC,D,D,1990,2012,332288.34,370153.96,245902.59,0
F000043,N00001746,"Fattah, Chaka",2012,PA,D,H,1994,2012,554638.34,525952.05,29868.77,0
G000386,N00001758,"Grassley, Chuck",2012,IA,R,S,1980,2016,7441585,7870558,1559311,13216
D000355,N00001783,"Dingell, John D",2012,MI,D,H,1955,2012,1444696.44,1090720.81,387065.14,0
S000583,N00001811,"Smith, Lamar",2012,TX,R,H,1986,2012,1727471.98,1705680.88,876558.68,0
S000248,N00001813,"Serrano, Jose E",2012,NY,D,H,1989,2012,212068,209532.08,16717.63,0
H000874,N00001821,"Hoyer, Steny H",2012,MD,D,H,1981,2012,4155102.7,3838032.94,777032.09,0
M000702,N00001945,"Mikulski, Barbara A",2012,MD,D,S,1986,2016,5350206,4987444,706652,0
C000141,N00001955,"Cardin, Ben",2012,MD,D,S,2006,2012,6908143,6281916,726870,0
C000984,N00001971,"Cummings, Elijah E",2012,MD,D,H,1996,2012,795483.37,842134.99,780052.38,0
M000933,N00002083,"Moran, Jim",2012,VA,D,H,1990,2012,1102046.82,1170284.75,356653.49,0
S000185,N00002147,"Scott, Bobby",2012,VA,D,H,1992,2012,451466.32,436493.13,62943.83,3191.43
R000011,N00002198,"Rahall, Nick",2012,WV,D,H,1976,2012,1359430.49,1720828.35,109681.3,0
B001135,N00002221,"Burr, Richard",2012,NC,R,S,2004,2016,9747606,5981916,915707,0
C000556,N00002247,"Coble, Howard",2012,NC,R,H,1984,2012,531611.09,639502.76,78560.42,0
P000523,N00002260,"Price, David",2012,NC,D,H,1986,2012,1141279.86,1085726.83,65647.12,0
J000255,N00002299,"Jones, Walter B Jr",2012,NC,R,H,1994,2012,716405.25,745971.19,98133.08,0
M000485,N00002356,"McIntyre, Mike",2012,NC,D,H,1996,2012,2304496.01,2253833.62,85817.53,0
C000537,N00002408,"Clyburn, James E",2012,SC,D,H,1992,2012,2388048.33,2223870.46,1233310.01,0
S000051,N00002424,"Sanford, Mark",2012,,R, ,,2012,635.64,4284,120660.55,0
L000287,N00002577,"Lewis, John",2012,GA,D,H,1986,2012,1238406.06,1300095.24,206722.39,520.18
I000055,N00002593,"Isakson, Johnny",2012,GA,R,S,2004,2016,9398226,9208326,1562109,0
K000220,N00002656,"Kingston, Jack",2012,GA,R,H,1992,2012,1248412.38,1208213.63,988077.99,0
B000490,N00002674,"Bishop, Sanford",2012,GA,D,H,1992,2012,1290956,1301603.64,9856.32,40663.63
C000286,N00002685,"Chambliss, Saxby",2012,GA,R,S,2002,2014,16424386,17009823,1495057,0
B000911,N00002713,"Brown, Corrine",2012,FL,D,H,1992,2012,610071.75,613190.36,1117.75,24595.67
M000689,N00002793,"Mica, John L",2012,FL,R,H,1992,2012,2068330.84,2473672.27,146741.34,50000
R000435,N00002858,"Ros-Lehtinen, Ileana",2012,FL,R,H,1989,2012,2146246.12,1190873.38,1790595.03,0
H000324,N00002884,"Hastings, Alcee L",2012,FL,D,H,1992,2012,652962.59,558061.51,256105.91,0
F000462,N00002893,"Frankel, Lois J",2012,,D, ,,2012,3453915.3,3410565.22,43350.08,112550.8
C001111,N00002942,"Crist, Charlie",2012,,3, ,,2016,13682636,13682634,0,0
A000055,N00003028,"Aderholt, Robert B",2012,AL,R,H,1996,2012,1247169.37,1140896.88,152881.82,0
S001141,N00003062,"Sessions, Jeff",2012,AL,R,S,1996,2014,5300045,3932604,2777227,0
B001243,N00003105,"Blackburn, Marsha",2012,TN,R,H,2002,2012,1779731.37,1408632.56,1220155.61,7402.28
C000754,N00003132,"Cooper, Jim",2012,TN,D,H,2002,2012,1213184.51,664008.33,693328.32,0
D000533,N00003209,"Duncan, John J Jr",2012,TN,R,H,1988,2012,650921.79,548500.62,1569583.96,0
C001068,N00003225,"Cohen, Steve",2012,TN,D,H,2006,2012,831885.68,820326.73,800407.2,0
C000567,N00003328,"Cochran, Thad",2012,MS,R,S,1978,2014,2660993,2526883,480184,0
M000355,N00003389,"McConnell, Mitch",2012,KY,R,S,1984,2014,26449564,21527996,7383877,0
R000395,N00003473,"Rogers, Hal",2012,KY,R,H,1980,2012,1535445.49,1322648.03,921922.4,0
K000009,N00003522,"Kaptur, Marcy",2012,OH,D,H,1982,2012,1150008.58,1588127.19,128695.51,0
B000944,N00003535,"Brown, Sherrod",2012,OH,D,S,2006,2012,24840222,24576288,551089,38651
B000589,N00003675,"Boehner, John",2012,OH,R,H,1990,2012,22024288.2,21197801.38,952828.44,0
P000449,N00003682,"Portman, Rob",2012,OH,R,S,2010,2016,14190788,5676479,2101854,0
C000266,N00003689,"Chabot, Steve",2012,OH,R,H,2010,2012,1068815.87,737763.86,338579.93,0
C000542,N00003845,"Coats, Dan",2012,IN,R,S,2010,2016,5266196,4967405,241739,0
L000263,N00003950,"Levin, Sander",2012,MI,D,H,1982,2012,1836756.43,1649665.19,238137.97,0
C000714,N00004029,"Conyers, John Jr",2012,MI,D,H,1964,2012,1044468.12,990584.78,63322.67,0
S000770,N00004118,"Stabenow, Debbie",2012,MI,D,S,2000,2012,14376142,13434824,1114269,10624
H000206,N00004207,"Harkin, Tom",2012,IA,D,S,1984,2014,8941664,7338777,2723808,0
L000111,N00004227,"Latham, Tom",2012,IA,R,H,1994,2012,3408821.85,3882303.82,117560.55,0
S000244,N00004291,"Sensenbrenner, F James Jr",2012,WI,R,H,1978,2012,554919.59,626187.32,282545.61,0
R000570,N00004357,"Ryan, Paul",2012,WI,R,H,1998,2012,4994668.37,6651220.68,1363328.25,0
B001230,N00004367,"Baldwin, Tammy",2012,WI,D,H,1998,2012,14643868.69,15204939.55,143852,0
K000188,N00004403,"Kind, Ron",2012,WI,D,H,1996,2012,1979016.88,1568648.69,464772.68,0
P000265,N00004426,"Petri, Tom",2012,WI,R,H,1979,2012,743349.28,672014.83,919744.12,0
K000363,N00004436,"Kline, John",2012,MN,R,H,2002,2012,2352676.1,1957355.51,565590.33,0
P000258,N00004558,"Peterson, Collin",2012,MN,D,H,1990,2012,1129343.43,1497202.12,34416.62,0
C001096,N00004614,"Cramer, Kevin",2012,,R, ,,2012,1325478.8,1291733.07,33745.73,0
B000243,N00004643,"Baucus, Max",2012,MT,D,S,1978,2014,12383551,10836569,3594923,0
R000580,N00004719,"Roskam, Peter",2012,IL,R,H,2006,2012,3277931.9,3406887.17,1043239.33,10373.61
S001145,N00004724,"Schakowsky, Jan",2012,IL,D,H,1998,2012,1350902.19,1338067.35,273011.52,0
G000535,N00004874,"Gutierrez, Luis V",2012,IL,D,H,1992,2012,344048.41,383848.64,353835.9,0
D000096,N00004884,"Davis, Danny K",2012,IL,D,H,1996,2012,372212.44,467560.04,180999.44,60296.97
R000515,N00004887,"Rush, Bobby L",2012,IL,D,H,1992,2012,498765.15,476407.1,24438.29,23489.43
S000364,N00004961,"Shimkus, John M",2012,IL,R,H,1996,2012,2107579.3,2384832.07,860929.98,0
D000563,N00004981,"Durbin, Dick",2012,IL,D,S,1996,2014,10581956.35,10926564,2590707,0
E000172,N00005090,"Emerson, Jo Ann",2012,MO,R,H,1996,2012,1516761.37,1438336.25,86268.22,0
B000575,N00005195,"Blunt, Roy",2012,MO,R,S,2010,2016,13047770,13309444,74733,0
M000934,N00005282,"Moran, Jerry",2012,KS,R,S,2010,2016,4916870,7050748,409062,18725
R000307,N00005285,"Roberts, Pat",2012,KS,R,S,1996,2014,7090580.41,6886158.41,886894,0
L000550,N00005395,"Landrieu, Mary L",2012,LA,D,S,1996,2014,13066787,11484647,2534458,0
L000491,N00005559,"Lucas, Frank D",2012,OK,R,H,1994,2012,1622077.68,1663973.74,158668.7,0
I000024,N00005582,"Inhofe, James M",2012,OK,R,S,1994,2014,6858383,6661597,659217,0
C000560,N00005601,"Coburn, Tom",2012,OK,R,S,2004,2016,2298468,2993134,120399,0
H000067,N00005645,"Hall, Ralph M",2012,TX,R,H,1980,2012,563641.45,598127.32,48967.06,18790.44
B000213,N00005656,"Barton, Joe",2012,TX,R,H,1984,2012,1535592.48,2152615.75,905926.91,0
S000250,N00005681,"Sessions, Pete",2012,TX,R,H,1996,2012,1836551.52,1716842.95,1118702.67,0
J000032,N00005818,"Jackson Lee, Sheila",2012,TX,D,H,1994,2012,600450.89,554810.24,160294.34,0
