bioguide_id,crp_id,first_name,last_name,date_of_birth,gender,party,state,seniority,leadership_role,url,total_votes,missed_votes,missed_votes_pct,total_present,votes_with_party_pct,votes_against_party_pct
A000360,N00009888,Lamar,Alexander,1940-07-03,M,R,TN,15,,https://www.alexander.senate.gov/public,599,27,4.51,0,97.0,3.0
B001230,N00004367,Tammy,Baldwin,1962-02-11,F,D,WI,5,,https://www.baldwin.senate.gov,599,3,0.5,1,95.92,4.08
B001261,N00006236,John,Barrasso,1952-07-21,M,R,WY,11,Policy Committee Chair,https://www.barrasso.senate.gov,599,1,0.17,0,97.13,2.87
B001267,N00030608,Michael,Bennet,1964-11-28,M,D,CO,9,,https://www.bennet.senate.gov/public,599,5,0.83,1,92.31,7.69
B001277,N00031685,Richard,Blumenthal,1946-02-13,M,D,CT,7,,https://www.blumenthal.senate.gov,599,3,0.5,1,92.5,7.5
B000575,N00005195,Roy,Blunt,1950-01-10,M,R,MO,7,,https://www.blunt.senate.gov,599,14,2.34,0,99.14,0.86
B001288,N00035267,Cory,Booker,1969-04-27,M,D,NJ,5,,https://www.booker.senate.gov,599,28,4.67,1,86.32,13.68
B001236,N00013873,John,Boozman,1950-12-10,M,R,AR,7,,https://www.boozman.senate.gov/public,599,4,0.67,0,99.15,0.85
B000944,N00003535,Sherrod,Brown,1952-11-09,M,D,OH,11,,https://www.brown.senate.gov,599,2,0.33,1,95.41,4.59
B001135,N00002221,Richard,Burr,1955-11-30,M,R,NC,13,,https://www.burr.senate.gov,599,25,4.17,0,98.42,1.58
C000127,N00007836,Maria,Cantwell,1958-10-13,F,D,WA,17,,https://www.cantwell.senate.gov,599,2,0.33,1,96.77,3.23
C001047,N00009771,Shelley,Capito,1953-11-26,F,R,WV,3,,https://www.capito.senate.gov,599,6,1.0,0,97.96,2.04
C000141,N00001955,Benjamin,Cardin,1943-10-05,M,D,MD,11,,https://www.cardin.senate.gov,599,5,0.83,1,96.75,3.25
C000174,N00012508,Thomas,Carper,1947-01-23,M,D,DE,17,,https://www.carper.senate.gov/public,599,6,1.0,1,91.27,8.73
C001070,N00027503,Bob,Casey,1960-04-13,M,D,PA,11,,https://www.casey.senate.gov,599,1,0.17,1,95.76,4.24
C001075,N00030245,Bill,Cassidy,1957-09-28,M,R,LA,3,,https://www.cassidy.senate.gov,599,6,1.0,0,97.11,2.89
C000567,N00003328,Thad,Cochran,1937-12-07,M,R,MS,39,,https://www.cochran.senate.gov,388,37,9.54,0,99.71,0.29
C001035,N00000491,Susan,Collins,1952-12-07,F,R,ME,21,,https://www.collins.senate.gov,599,0,0.0,0,90.4,9.6
C001088,N00031820,Christopher,Coons,1963-09-09,M,D,DE,9,,https://www.coons.senate.gov,599,23,3.84,1,91.55,8.45
C001071,N00027441,Bob,Corker,1952-08-24,M,R,TN,11,,https://www.corker.senate.gov,599,25,4.17,0,94.39,5.61
C001056,N00024852,John,Cornyn,1952-02-02,M,R,TX,15,Assistant Leader,https://www.cornyn.senate.gov,599,2,0.33,0,98.99,1.01
C001113,N00037161,Catherine,Cortez Masto,1964-03-29,F,D,NV,1,,https://www.cortezmasto.senate.gov,599,10,1.67,1,92.41,7.59
C001095,N00033363,Tom,Cotton,1977-05-13,M,R,AR,3,,https://www.cotton.senate.gov,599,2,0.33,0,97.3,2.7
C000880,N00006267,Michael,Crapo,1951-05-20,M,R,ID,19,,https://www.crapo.senate.gov,599,5,0.83,0,96.77,3.23
