bill_id,chamber,term,session,action,roll_number,url
HJRES106-113,Senate,113,2,PASSED SENATE,11,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=2&vote=00011
HJRES124-113,Senate,113,2,PASSED SENATE,270,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=2&vote=00270
HJRES124-113,Senate,113,2,CLOTURE MOTION,269,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=2&vote=00269
HJRES124-113,House,113,2,Passage of a Measure,509,http://clerk.house.gov/evs/2014/roll509.xml
HJRES124-113,House,113,2,Motion to Commit/Recommit With Instructions Results,508,http://clerk.house.gov/evs/2014/roll508.xml
HJRES59-113,Senate,113,1,SENATE AGREED (FREE TEXT),281,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=1&vote=00281
HJRES59-113,Senate,113,1,MOTION TO TABLE REJECTED,280,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=1&vote=00280
HJRES59-113,Senate,113,1,CLOTURE MOTION,279,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=1&vote=00279
HJRES59-113,House,113,1,Vote on House Agreeing to the Senate Action,640,http://clerk.house.gov/evs/2013/roll640.xml
HJRES59-113,Senate,113,1,FREE TEXT,212,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=1&vote=00212
HJRES59-113,Senate,113,1,MOTION TO TABLE AGREED TO,211,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=1&vote=00211
HJRES59-113,House,113,1,Vote on House Agreeing to the Senate Action,504,http://clerk.house.gov/evs/2013/roll504.xml
HJRES59-113,Senate,113,1,MOTION TO TABLE AGREED TO,210,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=1&vote=00210
HJRES59-113,House,113,1,Free Text Senate Motion Results,498,http://clerk.house.gov/evs/2013/roll498.xml
HJRES59-113,House,113,1,Vote on House Agreeing to the Senate Action,497,http://clerk.house.gov/evs/2013/roll497.xml
HJRES59-113,Senate,113,1,PASSED SENATE,209,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=1&vote=00209
HJRES59-113,Senate,113,1,MOTION TO WAIVE (MEASURE),207,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=1&vote=00207
HJRES59-113,Senate,113,1,CLOTURE MOTION,206,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=1&vote=00206
HJRES59-113,Senate,113,1,CLOTURE MOTION,205,http://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?&congress=113&session=1&vote=00205
HJRES59-113,House,113,1,Passage of a Measure,478,http://clerk.house.gov/evs/2013/roll478.xml
HJRES59-113,House,113,1,Motion to Commit/Recommit With Instructions Results,477,http://clerk.house.gov/evs/2013/roll477.xml
HJRES70-113,House,113,1,Passage of a Measure,513,http://clerk.house.gov/evs/2013/roll513.xml
HJRES70-113,House,113,1,Placeholder Text for H36810,512,http://clerk.house.gov/evs/2013/roll512.xml
HJRES70-113,House,113,1,Final Passage Under Suspension of the Rules Results,508,http://clerk.house.gov/evs/2013/roll508.xml
HJRES71-113,House,113,1,Final Passage Under Suspension of the Rules Results,507,http://clerk.house.gov/evs/2013/roll507.xml
HJRES72-113,House,113,1,Passage of a Measure,518,http://clerk.house.gov/evs/2013/roll518.xml
HJRES72-113,House,113,1,Placeholder Text for H36810,517,http://clerk.house.gov/evs/2013/roll517.xml
HJRES72-113,House,113,1,Final Passage Under Suspension of the Rules Results,506,http://clerk.house.gov/evs/2013/roll506.xml
